camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image
none,none,none,none,none,none,none,None,P1010325,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010325.JPG
none,none,none,none,none,none,none,None,P1010326,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010326.JPG
none,none,none,none,none,none,none,None,P1010327,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010327.JPG
none,none,none,none,none,none,none,None,P1010328,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010328.JPG
none,none,none,none,none,none,none,None,P1010329,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010329.JPG
none,none,none,none,none,none,none,None,P1010330,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010330.JPG
none,none,none,none,none,none,none,None,P1010331,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010331.JPG
none,none,none,none,none,none,none,None,P1010332,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010332.JPG
none,none,none,none,none,none,none,None,P1010333,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010333.JPG
none,none,none,none,none,none,none,None,P1010334,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010334.JPG
none,none,none,none,none,none,none,None,P1010335,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010335.JPG
none,none,none,none,none,none,none,None,P1010336,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010336.JPG
none,none,none,none,none,none,none,None,P1010337,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010337.JPG
none,none,none,none,none,none,none,None,P1010338,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010338.JPG
none,none,none,none,none,none,none,None,P1010339,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010339.JPG
none,none,none,none,none,none,none,None,P1010340,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010340.JPG
none,none,none,none,none,none,none,None,P1010341,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010341.JPG
none,none,none,none,none,none,none,None,P1010342,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010342.JPG
none,none,none,none,none,none,none,None,P1010343,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010343.JPG
none,none,none,none,none,none,none,None,P1010344,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010344.JPG
none,none,none,none,none,none,none,None,P1010345,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010345.JPG
